epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,12610.8,0.99019,0.85984,1.30549,0.65762,0.65404,0.67294,0.52953,0.94509,1.36046,1.38237,0.000117019,0.000117019,0.000117019
126,12709.3,1.00759,0.88502,1.31956,0.61561,0.70143,0.67825,0.53654,0.91804,1.34748,1.35835,0.000115519,0.000115519,0.000115519
127,12809.9,1.00084,0.88629,1.31366,0.64985,0.62179,0.67353,0.53543,0.9262,1.3887,1.36749,0.000114019,0.000114019,0.000114019
128,12910.9,1.00305,0.88266,1.30864,0.61567,0.69704,0.67826,0.5378,0.92353,1.31819,1.35976,0.000112519,0.000112519,0.000112519
129,13010.4,0.99125,0.8773,1.29935,0.63653,0.66886,0.67968,0.5361,0.94112,1.36305,1.36005,0.000111019,0.000111019,0.000111019
130,13109,0.97962,0.86747,1.2943,0.60942,0.70193,0.68055,0.53439,0.93427,1.26243,1.36501,0.000109519,0.000109519,0.000109519
131,13209.3,0.98245,0.86214,1.3031,0.65288,0.63795,0.66907,0.52783,0.92992,1.3855,1.36212,0.000108019,0.000108019,0.000108019
132,13307.7,0.9754,0.86259,1.30148,0.62777,0.66062,0.67625,0.54315,0.93331,1.36991,1.36436,0.00010652,0.00010652,0.00010652
133,13405.4,0.97022,0.85355,1.28973,0.61274,0.66437,0.66841,0.53057,0.93947,1.34455,1.37166,0.00010502,0.00010502,0.00010502
134,13503.9,0.95375,0.82004,1.27657,0.62236,0.65076,0.66593,0.53052,0.93147,1.36744,1.36874,0.00010352,0.00010352,0.00010352
135,13603.1,0.96396,0.8388,1.28945,0.64995,0.6157,0.66398,0.52534,0.93824,1.42225,1.3747,0.00010202,0.00010202,0.00010202
136,13703.7,0.95552,0.84272,1.27391,0.65785,0.62913,0.67483,0.5369,0.93439,1.37257,1.35353,0.00010052,0.00010052,0.00010052
137,13803,0.94876,0.8147,1.27638,0.68911,0.59733,0.66845,0.52893,0.9329,1.37652,1.35535,9.90204e-05,9.90204e-05,9.90204e-05
138,13902.7,0.95694,0.84497,1.28175,0.5903,0.6922,0.66615,0.52535,0.93702,1.39466,1.35968,9.75205e-05,9.75205e-05,9.75205e-05
139,14001.4,0.93849,0.84276,1.27515,0.58939,0.69449,0.66574,0.52453,0.93715,1.4003,1.35918,9.60207e-05,9.60207e-05,9.60207e-05
140,14102,0.95731,0.8234,1.27651,0.63454,0.65524,0.66791,0.52801,0.94469,1.38537,1.37885,9.45209e-05,9.45209e-05,9.45209e-05
141,14201.2,0.94384,0.84017,1.27892,0.6531,0.62089,0.66052,0.52558,0.94432,1.3856,1.37726,9.3021e-05,9.3021e-05,9.3021e-05
142,14298.8,0.92769,0.80729,1.26297,0.64425,0.68508,0.67532,0.53121,0.93862,1.39666,1.37006,9.15212e-05,9.15212e-05,9.15212e-05
143,14397.1,0.94849,0.8198,1.26918,0.66662,0.63097,0.66646,0.53157,0.93472,1.38167,1.36849,9.00213e-05,9.00213e-05,9.00213e-05
144,14495.9,0.92844,0.8139,1.26105,0.6302,0.65717,0.66225,0.52456,0.94081,1.38181,1.37646,8.85215e-05,8.85215e-05,8.85215e-05
145,14594.3,0.92917,0.80424,1.25221,0.60886,0.65235,0.66019,0.52328,0.94315,1.34112,1.37106,8.70216e-05,8.70216e-05,8.70216e-05
146,14693.9,0.93545,0.80981,1.26244,0.64803,0.63388,0.6716,0.52844,0.94449,1.33632,1.3831,8.55217e-05,8.55217e-05,8.55217e-05
147,14792.4,0.92374,0.80553,1.26402,0.66632,0.64034,0.6692,0.5277,0.95732,1.36248,1.39611,8.40219e-05,8.40219e-05,8.40219e-05
148,14891.6,0.92114,0.78252,1.25715,0.61834,0.65394,0.6654,0.53001,0.93922,1.3813,1.37762,8.25221e-05,8.25221e-05,8.25221e-05
149,14990.6,0.91734,0.78624,1.25908,0.69466,0.6256,0.67547,0.53341,0.92973,1.34945,1.36713,8.10222e-05,8.10222e-05,8.10222e-05
150,15089.3,0.91562,0.79018,1.25326,0.58338,0.68979,0.66476,0.52454,0.93242,1.37639,1.37138,7.95223e-05,7.95223e-05,7.95223e-05
151,15188.2,0.90893,0.76703,1.24018,0.64712,0.65077,0.67742,0.53514,0.93746,1.37269,1.38022,7.80225e-05,7.80225e-05,7.80225e-05
152,15286.9,0.88867,0.76073,1.23653,0.65113,0.6588,0.6872,0.54495,0.93201,1.29876,1.37064,7.65227e-05,7.65227e-05,7.65227e-05
153,15384.8,0.90699,0.77927,1.24141,0.67903,0.63011,0.67885,0.53812,0.93676,1.33269,1.36765,7.50228e-05,7.50228e-05,7.50228e-05
154,15485.3,0.92137,0.79349,1.24938,0.69946,0.62413,0.67955,0.5385,0.9328,1.35396,1.36314,7.3523e-05,7.3523e-05,7.3523e-05
155,15585.8,0.90074,0.78228,1.2441,0.6246,0.66147,0.66626,0.5269,0.93768,1.38142,1.37273,7.20231e-05,7.20231e-05,7.20231e-05
